NIT|Cod. Depto|Departamento|Cod. Municipio|Municipio|CIIU Rev 4 principal|Descripción CIIU principal|Cadena CIIU principal|Valor agregado empresa|Activos|Ingresos operacionales|Tamaño empresa RUES|Sucursal sociedad extranjera|País domicilio casa matriz|Antigüedad empresa|Tipo* ult 10 años|Cadena* ult 10 años|Sector* ult 10 años|Subsector* ult 10 años|Posara* ult 10 años|Descripcion posara* ult 10 años|Cod. Departamento* ult 10 años|Departamento* ult 10 años|Expo Latam ult 10 años|Expo 2022|Expo prom ult 5 años|Var. Expo 2022|TCAC expo ult 5 años|Trayectoria expo|Cadena segmentación
7423|11|Bogotá, D.C.|11001|Bogotá, D.C.|5613|Expendio de comidas preparadas en cafeterías|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|2087202000,0|3141734000,0|Pequeña|No|No es sucursal de sociedad extranjera|8,435318275154003|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|63|Quindío|No|607341,97|162810,822|193,81049898665844||No Constante|Agroalimentos
7429|5|Antioquia|5001|Medellín|6201|Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)|Industrias 4.0|Servicios de alta tecnología intensivos en conocimiento|4368720890,0|9060917963,0|Mediana|No|No es sucursal de sociedad extranjera|10,08350444900753|No Mineras|Industrias 4.0|Software y Servicios TI|Software y Servicios TI|Software y Servicios TI|Software y Servicios TI|05|Antioquia|Si|641560,5|375671,504|1,5774286630330314||Pymex|Industrias 4.0
7433|25|Cundinamarca|25772|Suesca|125|Cultivo de flor de corte|Agroalimentos|Bienes primarios|1256622242,0|3117198966,0|Pequeña|No|No es sucursal de sociedad extranjera|5,355236139630391|No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603129000|Los demás claveles frescos, cortados para ramos o adornos.|11|Bogotá, D.C.|No|407959,6|163489,78999999998|140,84682573183653|65,09338943277751|Pymex|Agroalimentos
7449|5|Antioquia|5607|Retiro|3110|Fabricación de muebles|Metalmecánica y Otras Industrias|Bienes tecnología baja|157206783,0|682298000,0|Micro|No|No es sucursal de sociedad extranjera|5,675564681724846|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - oficina|9403600000|Los demás muebles de madera.|05|Antioquia|No|21080,0|4216,0|||Futuros|Metalmecánica y Otras Industrias
7462|11|Bogotá, D.C.|11001|Bogotá, D.C.|4290|Construcción de otras obras de ingeniería civil|Infraestructura |Servicios no clasificados|3278181677,0|3789583917,0|Pequeña|No|No es sucursal de sociedad extranjera|19,61943874058864|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8459290000|Las demás máquinas de taladrar metal, por arranque de materia, excepto los tornos de la partida 84.58.|11|Bogotá, D.C.|Si|0,0|14000,0|||No Constante|Metalmecánica y Otras Industrias
7470|11|Bogotá, D.C.|11001|Bogotá, D.C.|4664|Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|12183793000,0|15945667000,0|Pequeña|No|No es sucursal de sociedad extranjera|11,915126625598903|No Mineras|Químicos y Ciencias de la Vida|Plástico y caucho|Plástico en formas primarias|3906909000|Los demás polímeros acrilicos, en formas primarias.|11|Bogotá, D.C.|Si|0,0|3142,216|-100,0|-100,0|No Constante|Químicos y Ciencias de la Vida
7484|5|Antioquia|5318|Guarne|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|25042239000,0|19947747000,0|Mediana|No|No es sucursal de sociedad extranjera|6,965092402464066|No Mineras|Metalmecánica y Otras Industrias|Papel y cartón|Otros papeles y cartones|4821100000|Etiquetas de todas clases impresas, de papel o cartón.|05|Antioquia|Si|89861,65999999999|247914,126|-70,35352846703158|-14,70897932056381|Pymex|Químicos y Ciencias de la Vida
7504|5|Antioquia|5148|El Carmen De Viboral|125|Cultivo de flor de corte|Agroalimentos|Bienes primarios|1893297057,0|6331411436,0|Pequeña|No|No es sucursal de sociedad extranjera|9,494866529774129|No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603199010|Hortensias (Hydrangea spp) frescas|05|Antioquia|Si|1380298,39|1208409,716|18,29863363161828|-2,4682292690090923|Pymex|Agroalimentos
7515|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8708920000|Silenciadores y tubos (caños) de escape; sus partes, de vehículos automóviles de las partidas 87.01 a 87.05.|25|Cundinamarca|Si|0,0|5917,4|||No Constante|Metalmecánica y Otras Industrias
7544|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
7576|11|Bogotá, D.C.|11001|Bogotá, D.C.|3210|Fabricación de joyas, bisutería y artículos conexos|Sistema Moda|Bienes tecnología baja|48827366,0|160204817,0|Micro|No|No es sucursal de sociedad extranjera|10,179329226557153|No Mineras|Sistema Moda|Joyería y bisutería|Orfebrería|7113110000|Artículos de joyeria y sus partes de plata, incluso revestida o chapada de otro metal precioso (plaque).|11|Bogotá, D.C.|Si|12810,0|70731,40599999999|-58,98581953120248|-48,08103782255375|No Constante|Sistema Moda
7609|13|Bolívar|13001|Cartagena De Indias|7110|Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica|Metalmecánica y Otras Industrias|Servicios de mercado intensivos en conocimiento|607253682,0|56511000,0|Pequeña|No|No es sucursal de sociedad extranjera|9,442847364818617|No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8431410000|Cangilones, cucharas, cucharas de almeja, palas y garras o pinzas de máquinas o aparatos de las partidas 84.26, 84.29 u 84.30.|13|Bolívar|No|0,0|1835,0|||Futuros|Metalmecánica y Otras Industrias
7613|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
7668|54|Norte de Santander|54001|San José De Cúcuta|2511|Fabricación de productos metálicos para uso estructural|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|951996531,0|2210003878,0|Pequeña|No|No es sucursal de sociedad extranjera|2,80082135523614|No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Acabados para la construcción|7308909000|Las demás construcciones y partes de construcciones no incluidas antes, de fundición, de hierro o de acero, excepto las contrucciones prefabricadas de la partida 94.06|54|Norte de Santander|Si|380135,21|272474,23000000004|-6,362706437129006|38,45353950963324|Pymex|Metalmecánica y Otras Industrias
7699|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Subproductos de origen animal (otros)|0510001000|Bilis, incluso desecada; glándulas y demás sustancias de origen animal, utilizadas para la preparación de productos farmacéuticos|13|Bolívar|No|0,0|398540,0|-100,0||No Constante|Agroalimentos
7712|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
7726|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Automóviles de turismo y uso familiar|8703241090|Camperos (4 x 4), para el transporte de personas, con motor de émbolo (pistón) alternativo, de encendido por chispa, de cilindrada superior a 3.000 cm3.|11|Bogotá, D.C.|No|7000,0|1400,0|||Futuros|Metalmecánica y Otras Industrias
7734|11|Bogotá, D.C.|11001|Bogotá, D.C.|119|Otros cultivos transitorios n.c.p.|Agroalimentos|Bienes primarios|922652324,0|69156971,0|Micro|No|No es sucursal de sociedad extranjera|11,663244353182751|No Mineras|Agroalimentos|Frutas y hortalizas frescas y procesadas|Frutas y hortalizas procesadas|0813400000|Las demás frutas u otros frutos secos excepto los de las partidas 08.01 a 08.06.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
7758|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Calzado|Calzado|6402910000|Los demás calzados con suela y parte superior (corte) de caucho o de plástico, que cubran el tobillo.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Sistema Moda
7764|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Material Promocional|Artículos promocionales|9505900000|Los demás artículos para fiestas, carnaval u otras diversiones, incluidos los de magia y artículos sorpresa.|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
7771|11|Bogotá, D.C.|11001|Bogotá, D.C.|2599|Fabricación de otros productos elaborados de metal n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-baja|12761244,0|666137,0|Micro|No|No es sucursal de sociedad extranjera|13,82340862422998|No Mineras|Sistema Moda|Joyería y bisutería|Bisutería|7117190000|Los demás artículos de bisuteria, de metal común, incluso plateados, dorados o platinados..|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
7790|8|Atlántico|8001|Barranquilla|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|1000000,0|0,0|No determinado|No|No es sucursal de sociedad extranjera|4,172484599589322|No Mineras|Químicos y Ciencias de la Vida|Plástico y caucho|Plástico y sus manufacturas|3920100000|Las demás placas, hojas, películas, bandas y láminas de plástico no celular, de polímeros de etileno.|08|Atlántico|Si|0,0|1248,5120000000002|||No Constante|Químicos y Ciencias de la Vida
7797|11|Bogotá, D.C.|11001|Bogotá, D.C.|1811|Actividades de impresión|Químicos y Ciencias de la Vida|Bienes tecnología baja|3468177000,0|4849362000,0|Pequeña|No|No es sucursal de sociedad extranjera|49,724845995893226|No Mineras|Metalmecánica y Otras Industrias|Artículos de hogar oficina hoteles e industrial|Productos editoriales|4910000000|Calendarios de cualquier clase impresos, incluidos los tacos de calendario.|11|Bogotá, D.C.|Si|0,0|463,0||-100,0|Futuros|Químicos y Ciencias de la Vida
7808|11|Bogotá, D.C.|11001|Bogotá, D.C.|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|3000000,0|0,0|Micro|No|No es sucursal de sociedad extranjera|2,9349760438056127|No Mineras|Metalmecánica y Otras Industrias|Muebles y maderas|Muebles - hogar|9403200000|Los demás muebles de metal.|50|Meta|Si|0,0|643,0|-100,0||No Constante|Agroalimentos
7817|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Vehículos y otros medios de transporte|Aeronaves y sus partes|8802201000|Aviones de peso máximo de despegue inferior o igual a 5.700 kg., excepto los diseñados específicamente para uso militar, de peso en vacío, inferior o igual a 2.000 kg.|11|Bogotá, D.C.|No|0,0|10000,0|||Futuros|Metalmecánica y Otras Industrias
7821|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
7823|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Ropa interior y pijamas|6108320000|Camisones y pijamas de punto, de fibras sintéticas o artificiales, para mujeres o niñas|05|Antioquia|Si|0,0|0,0|||Futuros|Sistema Moda
7856|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Aceites y grasas|Otros aceites y grasas|1521109000|Las demás ceras vegetales (excepto los triglicéridos incluso refinada o coloreada incluso refinada o coloreada)|76|Valle del Cauca|No|70000,0|174350,0|-24,119241192411923|-35,89478275727894|No Constante|Agroalimentos
7859|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Vestidos de baño y ropa de playa|6112410000|Bañadores, de punto,  de fibras sintéticas, para mujeres o niñas|05|Antioquia|No|0,0|0,0|||Futuros|Sistema Moda
7860|25|Cundinamarca|25473|Mosquera|2011|Fabricación de sustancias y productos químicos básicos|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|14056540774,0|13406941621,0|Mediana|No|No es sucursal de sociedad extranjera|6,576317590691307|No Mineras|Metalmecánica y Otras Industrias|Material Promocional|Artículos promocionales|9505900000|Los demás artículos para fiestas, carnaval u otras diversiones, incluidos los de magia y artículos sorpresa.|25|Cundinamarca|Si|20640,0|16088,486|60,9984399375975|-18,58703824643596|No Constante|Químicos y Ciencias de la Vida
7862|11|Bogotá, D.C.|11001|Bogotá, D.C.|2022|Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|886872623,0|1481717253,0|Pequeña|No|No es sucursal de sociedad extranjera|9,54962354551677|No Mineras|Químicos y Ciencias de la Vida|Químico|Extractos, pigmentos y pinturas|3215190000|Las demás tintas de imprenta.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
7872|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Materiales de construcción|Acabados para la construcción|7324900000|Los demás artículos de higiene o de tocador, incluidas las partes, de fundición de hierro o acero.|11|Bogotá, D.C.|Si|0,0|2979,0|-100,0||No Constante|Metalmecánica y Otras Industrias
7881|41|Huila|41001|Neiva|4620|Comercio al por mayor de materias primas agropecuarias; animales vivos|Agroalimentos|Servicios menos intensivos en conocimiento|12010000,0|20000000,0|Micro|No|No es sucursal de sociedad extranjera|3,3045859000684463|No Mineras|Agroalimentos|Derivados del café|Derivados de café|0901211000|Café tostado, sin descafeinar, en grano.|41|Huila|Si|0,0|260,0|||No Constante|Agroalimentos
7888|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|51176231,0|0,0|Micro|No|No es sucursal de sociedad extranjera|18,784394250513348|No Mineras|Químicos y Ciencias de la Vida|Plástico y caucho|Plástico y sus manufacturas|3920301000|Las demás  placas, láminas, hojas y tiras de polimero de estireno de espesor inferior o igual a 5 mm, sin refuerzo, estratificación, ni soporte o combinación similar con otras materias.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Químicos y Ciencias de la Vida
7906|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Artesanías|Flores artificiales|0603900000|Las demás flores y capullos, cortados para ramos o adornos, secos, blanqueados, teñidos, impregnados o preparados de otra forma.|25|Cundinamarca|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
7918|5|Antioquia|5001|Medellín|121|Cultivo de frutas tropicales y subtropicales|Agroalimentos|Bienes primarios|29476993000,0|17406782000,0|Mediana|No|No es sucursal de sociedad extranjera|35,58384668035592|No Mineras|Agroalimentos|Frutas y hortalizas frescas y procesadas|Frutas frescas|0805502200|Lima Tahití (limón Tahití) (citrus latifolia), frescas o secas.|05|Antioquia|Si|2009167,75|1944482,632|-7,549209519939359|6,530327962924076|Pymex|Agroalimentos
7921|66|Risaralda|66170|Dosquebradas|1020|Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos|Agroalimentos|Bienes tecnología baja|1445967481,0|1875156185,0|Pequeña|No|No es sucursal de sociedad extranjera|2,401095140314853|No Mineras|Agroalimentos|Frutas y hortalizas frescas y procesadas|Frutas y hortalizas procesadas|0811909900|Las demás Frutas y otros frutos sin cocer o cocidos con agua o al vapor, congelados.|66|Risaralda|No|290934,0|58186,8|||Futuros|Agroalimentos
7944|68|Santander|68001|Bucaramanga|4631|Comercio al por mayor de productos alimenticios|Agroalimentos|Servicios menos intensivos en conocimiento|130000000,0|74648176,0|Micro|No|No es sucursal de sociedad extranjera|3,652292950034223|No Mineras|Agroalimentos|Café|Café verde|0901119000|Los demás cafés sin tostar, sin descafeinar.|05|Antioquia|No|0,0|4477,0|-100,0||No Constante|Agroalimentos
7976|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de papel y cartón|4819400000|Los demás sacos (bolsas); bolsitas y cucuruchos, de papel, cartón, guata de celulosa o napas de fibras de celulosa.|05|Antioquia|Si|10378,18|4494,005999999999||5,992878904642729|Futuros|Químicos y Ciencias de la Vida
7990|11|Bogotá, D.C.|11001|Bogotá, D.C.|7410|Actividades especializadas de diseño|CIIU no aplica categoría ProColombia|Servicios de mercado intensivos en conocimiento|2538480326,0|2533475197,0|Pequeña|No|No es sucursal de sociedad extranjera|11,444216290212184|No Mineras|Industrias 4.0|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|Audiovisuales y contenidos digitales|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Industrias 4.0
8040|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603199010|Hortensias (Hydrangea spp) frescas|05|Antioquia|No|0,0|2168,124||-100,0|Futuros|Agroalimentos
8049|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Industrias 4.0|Comunicación gráfica y editorial (servicios)|Comunicación gráfica y editorial (servicios)|Comunicación gráfica y editorial (servicios)|Comunicación gráfica y editorial (servicios)|11|Bogotá, D.C.|No|0,0|600,0|||Futuros|Industrias 4.0
8057|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
8064|11|Bogotá, D.C.|11001|Bogotá, D.C.|2825|Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco|Metalmecánica y Otras Industrias|Bienes tecnología media-alta||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8417209000|Los demás hornos de panadería, pastelería o galletería.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
8086|5|Antioquia|5631|Sabaneta|1311|Preparación e hilatura de fibras textiles|Sistema Moda|Bienes tecnología baja|9648870000,0|12326413000,0|Mediana|No|No es sucursal de sociedad extranjera|16,695414099931554|No Mineras|Metalmecánica y Otras Industrias|Artículos de hogar oficina hoteles e industrial|Electrodomésticos|8451290000|Las demás máquinas para secar hilados, telas o manufacturas textiles.|05|Antioquia|No|0,0|0,0|||Futuros|Sistema Moda
8097|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Otros pecuario|Animales vivos (los demás)|0106190000|Los demás mamíferos vivos|11|Bogotá, D.C.|No|0,0|0,0|||Futuros|Agroalimentos
8106|11|Bogotá, D.C.|11001|Bogotá, D.C.|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|15000000,0|211561000,0|Micro|No|No es sucursal de sociedad extranjera|15,342915811088297|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de plástico|3923109000|Las demás Cajas, cajones, jaulas y artículos similares.|11|Bogotá, D.C.|Si|0,0|104,0|||No Constante|Químicos y Ciencias de la Vida
8115|05|Antioquia|05001|Medellín|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8448200000|Partes y accesorios de las máquinas de la partida 84.44 o de sus máquinas o aparatos auxiliares.|11|Bogotá, D.C.|No|0,0|71,916|||Futuros|Sistema Moda
8160|11|Bogotá, D.C.|11001|Bogotá, D.C.|4659|Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|7543882605,0|14836294157,0|Pequeña|No|No es sucursal de sociedad extranjera|27,430527036276523|No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|9023009000|Los demás instrumentos, aparatos y modelos, concebidos para demostraciones (por ejemplo: en la enseñanza o exposiciones), no susceptibles de otros usos.|76|Valle del Cauca|No|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
8193|76|Valle del Cauca|76001|Santiago De Cali|2819|Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.|Metalmecánica y Otras Industrias|Bienes tecnología media-alta||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Metalmecánica|Maquinaria industrial|8428320000|Los demás aparatos elevadores o transportadores, de cangilones, de accion continua, para mercancías.|76|Valle del Cauca|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
8203|5|Antioquia|5380|La Estrella|2229|Fabricación de artículos de plástico n.c.p.|Químicos y Ciencias de la Vida|Bienes tecnología media-baja|4134476000,0|7635613000,0|Pequeña|No|No es sucursal de sociedad extranjera|10,35728952772074|No Mineras|Químicos y Ciencias de la Vida|Envases/empaques|Envases y empaques de plástico|3923509000|Los demás tapones, tapas, cápsulas y demás dispositivos de cierre, de plástico.|05|Antioquia|Si|142117,35|97908,09|286,95816134267073|-0,5652073694425996|Pymex|Químicos y Ciencias de la Vida
8204|76|Valle del Cauca|76520|Palmira|2021|Fabricación de plaguicidas y otros productos químicos de uso agropecuario|Químicos y Ciencias de la Vida|Bienes tecnología media-alta|4560372480,0|6730113078,0|Pequeña|No|No es sucursal de sociedad extranjera|19,359342915811087|No Mineras|Agroalimentos|Agroindustrial|Preparaciones alimenticias diversas|2102101000|Levaduras de cultivo.|76|Valle del Cauca|Si|25040,69|26121,716|20,39377873637132|-5,2890309207811015|Pymex|Químicos y Ciencias de la Vida
8210|11|Bogotá, D.C.|11001|Bogotá, D.C.|6810|Actividades inmobiliarias realizadas con bienes propios o arrendados|CIIU no aplica categoría ProColombia|Servicios menos intensivos en conocimiento|6939870935,0|1048985703,0|Micro|No|No es sucursal de sociedad extranjera|41,13894592744696|No Mineras|Sistema Moda|Textiles y confecciones|Camisas|6205300000|Camisas de fibras sintéticas o artificiales, para hombres o niños, excepto las de punto.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Sistema Moda
8228|25|Cundinamarca|25754|Soacha|1392|Confección de artículos con materiales textiles, excepto prendas de vestir|Sistema Moda|Bienes tecnología baja|84017323000,0|63652432000,0|Mediana|No|No es sucursal de sociedad extranjera|27,236139630390145|No Mineras|Metalmecánica y Otras Industrias|Artículos de hogar oficina hoteles e industrial|Artículos del hogar|9404900000|Artículos de cama y artículos similares (cubrepies, edredones, cojines, pufes, almohadas, etc.), con muelles (resortes), rellenos o guarnecidos interiormente con cualquier materia, incluidos los de caucho o plástico celulares, recubiertos o no.|25|Cundinamarca|Si|732398,2|235088,504|1234,9607840635474|66,56820461526713|Pymex|Sistema Moda
8251|11|Bogotá, D.C.|11001|Bogotá, D.C.|7911|Actividades de las agencias de viaje|Turismo|Servicios menos intensivos en conocimiento|49496562215,0|12882335722,0|Mediana|No|No es sucursal de sociedad extranjera|9,585215605749486|No Mineras|Industrias 4.0|Software y Servicios TI|Software y Servicios TI|Software y Servicios TI|Software y Servicios TI|11|Bogotá, D.C.|No|0,0|80000,0||-100,0|Futuros|Industrias 4.0
8266|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Agroalimentos|Flores y plantas vivas|Flores frescas|0603199010|Hortensias (Hydrangea spp) frescas|05|Antioquia|Si|0,0|8327,508000000002||-100,0|Futuros|Agroalimentos
8277|11|Bogotá, D.C.|11001|Bogotá, D.C.|4664|Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario|Químicos y Ciencias de la Vida|Servicios menos intensivos en conocimiento|642518000,0|749482000,0|Micro|No|No es sucursal de sociedad extranjera|2,302532511978097|No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Cueros en bruto y preparados|4104110000|"Cueros y pieles, curtidos, de bovino (incluido el búfalo) o de equino, en estado húmedo (incluido el ""wet blue"") con plena flor sin dividir y divididos con la flor."|11|Bogotá, D.C.|No|128764,92|174238,41600000003|-82,65622179016188||No Constante|Sistema Moda
8285|5|Antioquia|5001|Medellín|1410|Confección de prendas de vestir, excepto prendas de piel|Sistema Moda|Bienes tecnología baja|2225660155,0|5727938594,0|Pequeña|No|No es sucursal de sociedad extranjera|9,481177275838467|No Mineras|Sistema Moda|Textiles y confecciones|Fajas y ropa de control|6212200000|Fajas y fajas-braga (fajas bombacha), incluso de punto.|05|Antioquia|Si|0,0|58400,89200000001|-100,0|-100,0|No Constante|Sistema Moda
8291|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Textiles y confecciones|Ropa casual masculina|6103230000|Conjuntos de punto,  de fibras sintéticas, para homres o niños|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Sistema Moda
8293|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado|No determinado||-1,0|No determinado|No determinado|No determinado||No Mineras|Metalmecánica y Otras Industrias|Instrumentos y aparatos|Medición|8471300000|Máquinas automáticas para  tratamiento o procesamiento de datos, portatiles, de peso inferior o igual a 10 kg, que estén constituidas, al menos, por una unidad central de proceso, un teclado y un visualizador.|11|Bogotá, D.C.|Si|0,0|0,0|||Futuros|Metalmecánica y Otras Industrias
8300|08|Atlántico|08001|Barranquilla|1011|Procesamiento y conservación de carne y productos cárnicos|Agroalimentos|Bienes tecnología baja||-1,0|No determinado|No determinado|No determinado||No Mineras|Sistema Moda|Cuero y manufacturas de cuero|Cueros en bruto y preparados|4101500000|Cueros y pieles enteros, de peso unitario superior a 16 kg, de bovino (incluido el búfalo) o de equino (frescos o salados, secos, encalados, piquelados o conservados de otro modo, pero sin curtir, apergaminar ni preparar de otra forma), incluso depilados.|08|Atlántico|Si|0,0|0,0|||Futuros|Agroalimentos
